from,to,street_name
4049536024,4049536015,-
4049536015,8166861792,-
4049536018,8166861793,-
8192535461,8192535463,-
10170849072,10170849075,-
10170849075,10170849074,-
10170849074,10170849073,-
10170849073,10170849072,-
10170849072,10168126618,-
10168126618,10099741841,-
10099741841,8192604763,-
8166861792,4049536021,-
4049536021,10170849078,-
10170849078,10170849079,-
10170849079,10170849080,-
10170849080,10170849081,-
8236231749,8236231786,-
8236231786,8236231750,-
8236231750,8236231761,-
8236231761,8236231751,-
8236231751,8236231752,-
8236231752,8236231760,-
8236231760,8236231753,-
8236231753,8236231758,-
8236231758,8236231759,-
8236231759,8236231754,-
8236231754,8236231756,-
8236231756,8236231787,-
8236231787,8236231755,-
8236231786,8236231787,-
8236265355,8236265356,-
8236265356,8236265360,-
8236265360,8236265359,-
8236265359,8236265361,-
8236265361,8236265357,-
8236265357,8236265358,-
8236265358,8107347185,-
1589761951,1589762098,-
8258135280,8258135281,-
330779067,10096657739,улица Тараса Шевченко
10096657739,330779130,улица Тараса Шевченко
